Date,Close/Last,Volume,Open,High,Low
02/11/2019,$123.50,332770,$123.26,$123.97,$123.23
02/08/2019,$124.28,396641,$123.20,$124.32,$122.78
02/07/2019,$124.59,385525,$123.37,$124.78,$123.032
02/06/2019,$126.96,191416,$127.03,$127.65,$126.75
02/05/2019,$127.28,464403,$127.97,$128.17,$127.02
02/04/2019,$127.22,415468,$126.01,$127.22,$125.79
02/01/2019,$127.13,1075761,$126.07,$127.55,$125.855
01/31/2019,$126.30,2257502,$116.04,$127.07,$116.04
01/30/2019,$112.69,707327,$110.81,$112.94,$110.41
01/29/2019,$110.55,437554,$110.79,$111.04,$109.7701
01/28/2019,$110.42,328974,$110.11,$110.45,$108.84
01/25/2019,$111.24,339273,$111.97,$112.19,$111.05
01/24/2019,$112.39,303054,$110.95,$112.47,$110.78
01/23/2019,$110.20,340137,$111.21,$111.63,$109.49
01/22/2019,$111.69,274097,$112.23,$112.61,$110.59
01/18/2019,$113.29,372266,$114.26,$114.48,$112.72
01/17/2019,$113.71,278581,$113.56,$114.7368,$112.965
01/16/2019,$113.13,329766,$111.90,$113.92,$111.81
01/15/2019,$112.37,324603,$112.55,$112.84,$111.40
01/14/2019,$110.88,225756,$110.61,$111.39,$110.12
01/11/2019,$110.84,250585,$111.74,$111.75,$110.41
01/10/2019,$110.79,298432,$109.87,$111.29,$109.41
01/09/2019,$111.19,490578,$112.16,$113.035,$111.14
01/08/2019,$108.58,762201,$107.62,$109.25,$107.40
01/07/2019,$104.48,427462,$103.32,$105.73,$102.95
01/04/2019,$102.23,524218,$100.23,$102.78,$99.26
01/03/2019,$96.98,450367,$98.85,$98.89,$96.62
01/02/2019,$98.70,293138,$98.10,$99.21,$97.61
12/31/2018,$99.44,305769,$99.56,$99.94,$97.7334
12/28/2018,$98.40,397907,$99.45,$99.82,$98.06
12/27/2018,$99.75,396450,$96.31,$99.76,$96.06
12/26/2018,$98.29,666337,$95.89,$98.37,$93.85
12/24/2018,$95.96,276423,$97.40,$97.8734,$95.79
12/21/2018,$98.16,427422,$100.98,$101.35,$97.80
12/20/2018,$101.52,593093,$103.11,$103.64,$100.39
12/19/2018,$102.43,810247,$104.19,$106.29,$101.84
12/18/2018,$100.80,545279,$101.76,$102.22,$100.76
12/17/2018,$99.94,653879,$100.79,$101.71,$99.485
12/14/2018,$101.49,622788,$102.12,$102.83,$101.10
12/13/2018,$104.10,483402,$105.81,$105.93,$103.75
12/12/2018,$105.42,526922,$105.90,$106.79,$105.36
12/11/2018,$104.96,278757,$107.53,$107.565,$104.58
12/10/2018,$104.93,365150,$105.24,$106.15,$104.03
